score,text,idx,user,written_at,agree,disagree
10,극장에서 3번이나 봤습니다 그래도 보고싶은 너무나 행복한 영화입니다,12180460,후니뷘(beau****),2017.01.15 17:00,1,1
10,꿈의나라로~!!!!,12180563,더리버리(rapp****),2017.01.15 17:16,2,1
9,반전과 공감이 있는 로맨스 영화,12180612,조윤경(jykj****),2017.01.15 17:26,2,1
8,마지막에 남녀가 만나서 사랑을 이뤘으면 행복한 결말이였지만 그렇지 못해서 더 애잔함이 묻어나는 아름다운 영화,12180615,상하(shtb****),2017.01.15 17:27,2,0
8,영상미는 진짜 깜짝 놀랄정도였다근데 난 개인적으로 여주가 극적으로 성공하는게 너무 억지스러웠음,12180617,이소의(thdm****),2017.01.15 17:27,2,0
9,아무생각 없이 보다가 울고 웃고 날 행복하게 영화. 영화본지 일주일 넘었는데도 이 영화 노래들만 듣고있다 보다가 졸았다는 평도 보고 재미없다는 평들도 봤지만 호기심에 봤다가 인생영화 찾았다 또보러가야징 ㅎ 꼭보셔야 ...,12180674,조윤서(yuns****),2017.01.15 17:37,0,0
8,동화같은 영화를 보다가 마지막에 꿈에서 깬 느낌,12180699,김보람(bora****),2017.01.15 17:42,0,0
9,음악 너무 좋아요!!!!,12180702,왕신민(dhkd****),2017.01.15 17:42,1,1
5,"평점이 한결같이 높고 라이언 고즐링출연에 믿고 봤는데 그의 연기는 그럭저럭..  영화보다 눈이 스르륵 감길정도로 밋밋한 스토리전개와 신선하지 않은 에피소드 ,상영시간이 길은 느낌..  영화도 소신껏 봐야겠습니다.",12180758,mari****,2017.01.15 17:50,1,2
9,춤을 좋아해서인지 넘 재미있게 봤어요,12180766,나서은(jn93****),2017.01.15 17:51,1,0
1,영화 보다 자다가 나왔는데 뭐가 재밌었던건지 모르겠는..,12180805,1ss4****,2017.01.15 17:56,25,14
9,초반에는 좀 정신없다 지루했다 했지만 마지맞 몇분은 미장센이 환상적이었다,12180836,몽마르뜨(sjk8****),2017.01.15 18:01,1,0
7,특별한 긴장감은 없지만 음악은 갠잖음,12180896,000000(reco****),2017.01.15 18:08,1,0
9,여주인공의 의상과 연기 춤 이 인상적이었다,12180990,jang****,2017.01.15 18:22,1,0
9,영화보다는 웰메이드 LA뮤지컬 한편 보고온 느낌이네요 음악이 너무 인상깊었어요,12180996,Lennon(yjy5****),2017.01.15 18:23,0,0
10,영화관잘못찾아가서못봤지만10드립니다,12181019,파냐(sola****),2017.01.15 18:26,1,1
10,익숙한 줄거리지만 참 아름답네요 극장에서 보길 잘한듯요,12181056,anes****,2017.01.15 18:32,2,1
6,초반에는 잔잔하다가 후반부에는 시간가는줄 모르고 빠져봣네요 끝나고나니 잠깐 꿈을 꾼것 같은 기분이 드는 묘한 영화!! 남자분들은 지루할수잇어요^^,12181075,나비(hwan****),2017.01.15 18:34,2,0
7,음악이 많이 쓰이지 않았다 음악 영화라고 보기에 조금 미흡하고 후반부에  내용이 산만해졌다 춤과 배경들은 뮤지컬 영화로 볼거리가 가득했다,12181134,새벽(eunj****),2017.01.15 18:43,1,0
9,감각적인 영상과 음악이 만들어 내는 꿈이자 현실적인 스토리,12181169,곰팅(bigl****),2017.01.15 18:50,1,0
10,꿈와 현실 사이에서 갈등하는 우리들의 가슴을 두들겨주는 영화,12181172,seop****,2017.01.15 18:50,0,1
9,올해의 최고영화라고 해도~~,12181178,conti(eche****),2017.01.15 18:51,2,0
10,"마지막 10분에 울컥했다. ""우리, 그때 다른 선택을 했다면 지금 어떨까..""  물어보고싶어진다. .",12181197,마시멜로(snai****),2017.01.15 18:55,2,1
10,음악도 좋고 미아와 세바스티안의 아름다운 사랑과 예술에 대한 열정이 감동적이었습니다. 재즈음악을 사랑하고 뮤지컬을 좋아하는 사람들에게 강추합니다.,12181357,이고경(koky****),2017.01.15 19:22,2,1
9,꿈을 꾼 것만 같다!아름다운 그들의 만남 그리고현실의 사랑이야기!멋있고 사랑스럽다^^,12181424,크리에이티브인테리어(hsjw****),2017.01.15 19:32,0,0
9,재밌었다. 결말이 좀 아쉬웠다. 그렇지만 꿈은 이뤄서 좋다.,12181442,히아로(por0****),2017.01.15 19:36,0,0
8,음.. 영상미 비주얼 연기력 다 좋았는데 기대가 컸던 탓일까ㅠㅠㅠ 좀 지루했음.. 그거 빼곤 굳,12181461,뇽뇽뇽(tnse****),2017.01.15 19:41,0,1
10,달콤쌉싸름한 사랑의 맛을 표현한 영화.,12181480,소화(jino****),2017.01.15 19:44,0,2
7,디즈니 만화스러워서 조금 부담되기는 했지만 내가 옛날사람이어서 그런가 싶었음. 결말은 맘에 듬.,12181493,염소(wint****),2017.01.15 19:47,1,0
10,오프닝과 연출까지 전부 복고풍이고 뮤지컬 형식이라 이런 방식의 연출을 좋아하는 사람들에게는 만점일 듯. 엔딩까지도 너무 좋았다.,12181506,은하수(kiri****),2017.01.15 19:48,0,2
10,너무 재밌었음.. 여운이 많이 남는 영화 둘이 이어졌으면 더 좋았을걸.,12181535,라비따에벨라(0117****),2017.01.15 19:52,0,2
10,아 또 오랜만에 좋은영화 맘에드는 영화 보네,12181550,홍재원(wodn****),2017.01.15 19:56,0,1
7,기대를 너무 많이 했나..ㅠㅠ,12181591,우고(jeew****),2017.01.15 20:05,0,1
8,감동적이네요..꿈을 이루는 과정이 아름답게 그려넸네요~~,12181628,바람돌이(leeb****),2017.01.15 20:11,0,1
9,와우..진짜 볼만한 영화입니다!!,12181638,김견민(kuta****),2017.01.15 20:14,0,1
8,남주여주의 고민에 완전 공감함... 끝도 매우 현실적이다.,12181641,네넵(kims****),2017.01.15 20:14,0,1
10,너무좋앗어요적극추천합니다,12181647,such****,2017.01.15 20:16,0,1
8,춤과 노래는 좋으나 스토리와 감동은 부족합니다,12181659,아름(blue****),2017.01.15 20:19,0,1
10,시작은 인도영화마냥 뜬금포로 노래를 불러서 당황스러웠다. 하지만 스토리가 점점 진행함에 따라서 흥미도가 올라간다. 생각을 많이 하게 만드는 한편의 동화느낌을 받았다.주의점은 이별한지 얼마되지 않은  사람은 쓰라린 가...,12181678,zinl****,2017.01.15 20:22,0,1
8,초반에는 조금 지루했지만 뒤로 갈수록 재밌어요,12181744,수영(soo_****),2017.01.15 20:36,0,1
10,재미있게 봤습니다..,12181828,라온제나(joli****),2017.01.15 20:51,0,2
9,노래가 정말 좋았다! 춤을 추고 싶어졌다.,12181840,히메(eleu****),2017.01.15 20:52,0,1
