CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,MIDV
0.3,0.0,8.6,0,0.5,6.2,91.2,2.5,5,384.0,20.9,391.2,15.6,19.4
0.1,0.0,2.9,0,0.4,6.6,57.8,3.5,2,276.0,18.0,358.0,6.7,28.4
0.2,22.0,5.9,0,0.4,6.4,49.1,7.8,7,330.0,19.1,374.7,9.5,24.5
17.9,0.0,18.1,0,0.7,6.2,100.0,1.4,24,666.0,20.2,393.7,21.8,10.2
0.3,0.0,21.9,0,0.6,5.9,93.5,2.0,4,437.0,21.2,378.2,16.9,17.4
0.1,0.0,2.5,0,0.5,7.0,58.4,2.8,3,193.0,17.8,396.9,5.0,37.2
15.9,0.0,18.1,0,0.7,6.5,99.1,1.5,24,666.0,20.2,396.9,21.1,10.9
0.3,0.0,10.6,0,0.5,5.8,72.7,4.4,4,277.0,18.6,389.4,18.1,22.5
28.7,0.0,18.1,0,0.6,5.2,100.0,1.6,24,666.0,20.2,211.0,20.1,16.3
5.1,0.0,18.1,0,0.7,6.3,91.8,2.4,24,666.0,20.2,385.1,17.3,16.1
0.1,0.0,8.6,0,0.5,6.2,54.4,2.8,5,384.0,20.9,393.5,13.0,21.7
9.0,0.0,18.1,1,0.8,6.2,97.4,2.1,24,666.0,20.2,377.7,17.6,17.8
0.0,18.0,2.3,0,0.5,6.6,65.2,4.1,1,296.0,15.3,396.9,5.0,24.0
45.7,0.0,18.1,0,0.7,4.5,100.0,1.7,24,666.0,20.2,88.3,37.0,7.0
9.9,0.0,18.1,0,0.7,5.9,77.8,1.5,24,666.0,20.2,338.2,30.0,6.3
2.4,0.0,19.6,0,0.9,6.1,100.0,1.4,5,403.0,14.7,172.9,27.8,13.8
1.3,0.0,19.6,1,0.6,6.2,92.6,1.8,5,403.0,14.7,338.9,5.5,27.0
5.8,0.0,18.1,0,0.5,6.2,64.7,3.4,24,666.0,20.2,396.9,10.7,23.0
0.4,0.0,25.6,0,0.6,5.6,95.6,1.8,2,188.0,19.1,359.3,27.3,15.7
4.6,0.0,18.1,0,0.7,3.6,87.9,1.6,24,666.0,20.2,354.7,7.1,27.5
0.6,0.0,6.2,0,0.5,6.6,80.8,3.3,8,307.0,17.4,396.9,7.6,30.1
1.5,0.0,19.6,0,0.9,5.4,100.0,1.6,5,403.0,14.7,341.6,13.3,19.6
0.0,55.0,3.8,0,0.5,6.9,28.1,6.5,5,370.0,17.6,388.0,4.6,31.2
0.1,0.0,13.9,0,0.4,5.8,58.0,6.3,4,289.0,16.0,396.9,15.8,20.3
0.1,0.0,4.5,0,0.4,6.6,56.1,4.4,3,247.0,18.5,392.3,6.5,26.6
0.5,20.0,4.0,0,0.6,8.4,91.5,2.3,5,264.0,13.0,386.9,5.9,48.8
0.1,0.0,25.6,0,0.6,5.9,95.8,2.0,2,188.0,19.1,379.4,17.6,18.8
25.9,0.0,18.1,0,0.7,5.3,89.1,1.6,24,666.0,20.2,127.4,26.6,10.4
0.2,0.0,21.9,0,0.6,5.9,98.2,1.7,4,437.0,21.2,392.0,21.3,13.3
0.1,0.0,11.9,0,0.6,6.6,69.1,2.5,1,273.0,21.0,392.0,9.7,22.4
0.8,0.0,8.1,0,0.5,6.0,81.7,4.3,4,307.0,21.0,386.8,14.7,17.5
0.2,12.5,7.9,0,0.5,5.6,100.0,6.1,5,311.0,15.2,386.6,29.9,16.5
0.2,25.0,5.1,0,0.5,6.0,93.4,6.8,8,284.0,19.7,378.1,14.4,16.0
0.3,0.0,21.9,0,0.6,5.8,95.4,2.5,4,437.0,21.2,388.7,15.0,18.4
0.2,0.0,10.6,0,0.5,6.2,42.4,3.9,4,277.0,18.6,393.6,9.5,25.0
0.3,0.0,9.9,0,0.5,6.0,76.7,3.1,4,304.0,18.4,396.2,10.0,20.3
0.0,80.0,0.5,0,0.4,7.9,32.0,5.6,4,255.0,14.4,394.2,3.0,50.0
0.0,0.0,5.2,0,0.5,6.3,38.5,6.5,5,224.0,20.2,389.4,6.8,20.7
0.1,0.0,12.8,0,0.4,6.3,6.0,4.3,5,398.0,18.7,394.9,6.8,24.1
8.2,0.0,18.1,0,0.7,5.4,98.9,1.7,24,666.0,20.2,396.9,20.9,11.5
0.4,0.0,10.6,1,0.5,5.4,88.6,3.7,4,277.0,18.6,395.2,24.0,19.3
11.8,0.0,18.1,0,0.7,6.8,76.5,1.8,24,666.0,20.2,48.5,22.7,8.4
0.0,80.0,3.6,0,0.4,6.1,32.0,9.2,1,315.0,16.4,392.9,6.6,21.9
1.4,0.0,8.1,0,0.5,6.0,82.0,4.0,4,307.0,21.0,232.6,27.7,13.2
5.8,0.0,18.1,0,0.7,6.5,89.9,2.8,24,666.0,20.2,393.8,10.3,20.2
0.5,0.0,6.2,1,0.5,6.6,76.5,4.1,8,307.0,17.4,388.4,9.5,25.1
0.1,0.0,6.9,0,0.4,6.8,2.9,5.7,3,233.0,17.9,385.4,4.8,26.6
0.2,0.0,6.9,0,0.4,5.7,33.8,5.1,3,233.0,17.9,396.9,10.2,19.3
0.6,0.0,8.1,0,0.5,6.1,84.5,4.5,4,307.0,21.0,380.0,10.3,18.2
3.5,0.0,19.6,1,0.9,6.2,82.6,1.7,5,403.0,14.7,88.0,15.0,15.6
9.5,0.0,18.1,0,0.7,6.7,94.1,2.5,24,666.0,20.2,6.7,18.7,14.9
0.1,0.0,4.5,0,0.4,6.4,48.0,4.8,3,247.0,18.5,396.9,9.6,23.9
0.1,0.0,8.6,0,0.5,5.9,96.7,2.1,5,384.0,20.9,394.1,16.5,19.5
0.0,95.0,1.5,0,0.4,7.1,13.9,7.7,3,402.0,17.0,384.3,4.5,32.9
12.0,0.0,18.1,0,0.7,5.6,100.0,1.3,24,666.0,20.2,332.1,12.1,27.9
0.2,0.0,7.4,0,0.5,6.4,14.7,5.4,5,287.0,19.6,393.7,5.1,24.6
16.8,0.0,18.1,0,0.7,5.3,98.1,1.4,24,666.0,20.2,396.9,30.8,7.2
0.1,34.0,6.1,0,0.4,7.0,17.7,5.5,7,329.0,16.1,390.4,4.9,33.1
0.0,17.5,1.4,0,0.4,7.1,59.5,9.2,3,216.0,18.6,393.2,8.1,33.0
0.1,30.0,4.9,0,0.4,6.4,7.8,7.0,6,300.0,16.6,374.7,5.2,23.7
0.0,20.0,3.3,0,0.4,7.8,64.5,4.7,5,216.0,14.9,387.3,3.8,45.4
0.0,80.0,3.4,0,0.4,5.8,31.1,6.6,4,337.0,16.1,396.9,10.2,19.4
0.0,70.0,2.2,0,0.4,6.9,47.4,7.8,5,358.0,14.8,390.9,6.1,24.8
15.3,0.0,18.1,0,0.7,6.6,93.3,1.3,24,666.0,20.2,363.0,23.2,13.9
0.0,0.0,13.9,1,0.6,5.9,56.0,3.1,5,276.0,16.4,392.8,13.5,23.3
